Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,RecallRise,RecalFall,F1Rise,F1Fall
Custom Model, max_depth: 14 min_samples_split: 2 min_samples_leaf: 1,0.5450281425891181,0.5436908082408453,0.5468286995693938,0.612453531598513,0.4763257575757576,0.5760054539889783,0.5091148842007376
Custom Model, max_depth: 14 min_samples_split: 2 min_samples_leaf: 2,0.5431519699812384,0.5416194241627559,0.5452323020299482,0.6175650557620818,0.4673295454545454,0.577080270814835,0.5032455881484508
Custom Model, max_depth: 14 min_samples_split: 2 min_samples_leaf: 3,0.5325984990619137,0.5328852044402378,0.5322982866443117,0.5985130111524164,0.4654356060606061,0.5637165075016524,0.49650049760754744
Custom Model, max_depth: 14 min_samples_split: 2 min_samples_leaf: 4,0.5361163227016885,0.5359650952902502,0.5364650374801008,0.6008364312267659,0.47017045454545453,0.5664340033858015,0.5009633831186369
Custom Model, max_depth: 14 min_samples_split: 2 min_samples_leaf: 5,0.5335365853658537,0.5340331195745815,0.5329088921150624,0.5980483271375465,0.4678030303030303,0.5641155288015927,0.4980652778909884
Custom Model, max_depth: 14 min_samples_split: 3 min_samples_leaf: 1,0.5363508442776735,0.5359561799580655,0.5369795409802555,0.6059479553903345,0.465435606060606,0.5687145278440554,0.49850728946504225
Custom Model, max_depth: 14 min_samples_split: 3 min_samples_leaf: 2,0.5403377110694185,0.5398898079269715,0.5409426215774267,0.6036245353159853,0.4758522727272727,0.5699580971229061,0.5062797490680822
Custom Model, max_depth: 14 min_samples_split: 3 min_samples_leaf: 3,0.5396341463414634,0.538691558145882,0.5409352364909619,0.6110594795539034,0.4668560606060606,0.5725700607687583,0.5011284427059834
Custom Model, max_depth: 14 min_samples_split: 3 min_samples_leaf: 4,0.5417448405253283,0.5412005322826737,0.5425533643010643,0.6031598513011152,0.47916666666666663,0.5704290549365453,0.5087843452834089
Custom Model, max_depth: 14 min_samples_split: 3 min_samples_leaf: 5,0.5361163227016885,0.5358145984046638,0.5365584523787144,0.6050185873605948,0.46590909090909094,0.5682726930953665,0.4986749051158945
