Model,Parameters,explained_variance_score,max_error,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
ARIMA,"p: 0, d: 0, q: 0",-0.00017633502695946213,24.975577441529314,0.5393999233899108,1.5617908192296808,0.2882581481618561,-0.00019993772257831388
ARIMA,"p: 0, d: 0, q: 1",0.13730040321926373,25.083496504881804,0.5366255626749157,1.34716176027346,0.28013407041540195,0.13725251029946217
ARIMA,"p: 0, d: 0, q: 2",0.13616053930887273,25.084547207399265,0.5367982820056608,1.3489474862025415,0.27836833906024394,0.13610889814534666
ARIMA,"p: 0, d: 1, q: 0",-1.738864216218479,45.0299375189734,0.898696181091422,4.276678929806257,0.5138104157726114,-1.738864863709137
ARIMA,"p: 0, d: 1, q: 1",-0.0007503958006451761,25.022899505417342,0.5405164895606535,1.5637799189196935,0.2940055500508507,-0.0014737942221676459
ARIMA,"p: 0, d: 2, q: 0",-7.97021519538068,69.70319904691581,1.6344291202305998,14.006801571118274,0.9454244614086458,-7.9702166811525625
ARIMA,"p: 0, d: 2, q: 1",-1.7398191376404228,45.03894811113093,0.8988589668809905,4.278169932436641,0.5139240003068606,-1.739819729571897
ARIMA,"p: 1, d: 0, q: 0",0.12004568253937486,25.05291817995077,0.537880451906268,1.374098351926509,0.285158954427412,0.12000181516019448
ARIMA,"p: 1, d: 0, q: 1",0.1360132768116702,25.084651185529218,0.5368165234930082,1.3491782604814306,0.2782852214370664,0.13596110599768463
ARIMA,"p: 1, d: 1, q: 0",-0.6435780368090362,30.150262271409062,0.7363083072089951,2.5664120341989403,0.4183044956895221,-0.6435780804770868
ARIMA,"p: 1, d: 2, q: 0",-3.1109380798268225,51.86733904700657,1.1711069317584826,6.419143129967756,0.672896596395803,-3.1109388528694266
ARIMA,"p: 2, d: 0, q: 0",0.13277464958459506,25.079003276772173,0.5373632658070393,1.3542319415600177,0.28147910718181457,0.1327246344818861
ARIMA,"p: 2, d: 0, q: 1",0.1357250958659627,25.08227759266785,0.5367904554485765,1.3496317439927505,0.2798730950584234,0.1356706867083689
ARIMA,"p: 2, d: 1, q: 0",-0.3335479887282242,24.763818644225452,0.6769095463212523,2.0823068112248126,0.3853559745783861,-0.3335480765174532
ARIMA,"p: 2, d: 2, q: 0",-1.813840962413317,42.210341862619984,0.989055590354344,4.393752810750524,0.5975942711288309,-1.8138411582215812
ARIMA,"p: 4, d: 0, q: 0",0.1346797143399706,25.081569679945947,0.5371572739392957,1.3512676644811537,0.2816216809412287,0.134623012749428
ARIMA,"p: 4, d: 0, q: 1",0.13418997366203234,25.0613850427692,0.5377487340738553,1.35203053618372,0.27966133225866274,0.134134455498353
ARIMA,"p: 4, d: 0, q: 2",0.13435346765273304,25.050235137017676,0.5392459400349059,1.3517818644993924,0.2813749001801129,0.1342937094778972
ARIMA,"p: 4, d: 1, q: 0",-0.104097252688369,25.064084548607262,0.6269011604658733,1.7240243267582944,0.3548272312352144,-0.1040972984502262
ARIMA,"p: 4, d: 1, q: 1",0.1352551520928753,25.149718805549217,0.5378288299066353,1.353046763739833,0.28872285214522275,0.13348364443849703
