Date;Open;High;Low;Close;Volume;Market Cap
10.10.2019;8,585.28;8,625.27;8,471.93;8,586.47;17,618,660,671;154,430,515,160
9.10.2019;8,229.84;8,627.71;8,169.30;8,595.74;19,384,942,333;154,579,656,110
8.10.2019;8,246.85;8,332.72;8,185.76;8,228.78;15,592,264,032;147,966,069,982
7.10.2019;7,989.12;8,308.45;7,905.77;8,245.62;18,009,742,607;148,252,589,805
6.10.2019;8,149.88;8,161.41;7,958.85;7,988.16;13,160,830,305;143,607,672,862
5.10.2019;8,210.15;8,215.53;8,071.12;8,151.50;12,200,497,197;146,529,229,668
4.10.2019;8,259.49;8,260.06;8,151.24;8,205.94;13,139,456,229;147,491,804,056
3.10.2019;8,390.77;8,414.23;8,146.44;8,259.99;13,668,823,409;148,448,162,840
2.10.2019;8,344.21;8,393.04;8,227.70;8,393.04;13,125,712,443;150,823,797,662
1.10.2019;8,299.72;8,497.69;8,232.68;8,343.28;15,305,343,413;149,913,972,768
30.9.2019;8,104.23;8,314.23;7,830.76;8,293.87;17,115,474,184;149,011,567,415
29.9.2019;8,246.04;8,261.71;7,990.50;8,104.19;13,034,629,109;145,590,374,681
28.9.2019;8,251.27;8,285.62;8,125.43;8,245.92;14,141,152,736;148,122,503,616
27.9.2019;8,113.10;8,271.52;7,965.92;8,251.85;16,408,941,156;148,212,635,834
26.9.2019;8,487.67;8,515.69;7,895.63;8,118.97;19,258,205,289;145,812,492,488
25.9.2019;8,603.43;8,744.83;8,325.40;8,486.99;21,744,728,353;152,404,005,091
24.9.2019;9,729.32;9,804.32;8,370.80;8,620.57;25,002,886,689;154,785,821,876
23.9.2019;10,067.96;10,074.24;9,727.14;9,729.32;15,144,925,408;174,674,558,023
22.9.2019;10,024.12;10,074.44;9,922.53;10,070.39;13,199,651,699;180,784,051,699
21.9.2019;10,183.65;10,188.10;10,000.71;10,019.72;13,425,266,806;179,853,287,294
20.9.2019;10,266.32;10,285.87;10,132.19;10,181.64;14,734,189,639;182,738,947,696
19.9.2019;10,200.50;10,295.67;9,851.69;10,266.41;19,937,691,247;184,240,949,577
