Column1;Column2
26.3.2019 0:00;6732627.998192696
27.3.2019 0:00;7663796.726939428
28.3.2019 0:00;7555049.540747478
29.3.2019 0:00;7747502.7297775885
30.3.2019 0:00;7361068.337672192
31.3.2019 0:00;7323231.754863564
1.4.2019 0:00;7303045.818716162
2.4.2019 0:00;9710160.923897741
3.4.2019 0:00;9620978.151310794
4.4.2019 0:00;9466800.952538818
5.4.2019 0:00;10409196.260320876
6.4.2019 0:00;9169049.92924278
7.4.2019 0:00;9474473.849813772
8.4.2019 0:00;10327106.663030539
9.4.2019 0:00;9173643.193050485
10.4.2019 0:00;10301707.84642711
11.4.2019 0:00;10621161.128495222
12.4.2019 0:00;10002902.942423645
13.4.2019 0:00;8902414.89552855
14.4.2019 0:00;8035239.172794224
15.4.2019 0:00;9674591.791099526
16.4.2019 0:00;9653040.274374476
17.4.2019 0:00;9397443.838735396
18.4.2019 0:00;10184250.914811477
19.4.2019 0:00;10397880.593260178
20.4.2019 0:00;8991647.2126373
21.4.2019 0:00;10945502.350021463
22.4.2019 0:00;9258378.290267369
23.4.2019 0:00;8548641.41204141
24.4.2019 0:00;11850192.582917754
25.4.2019 0:00;10202233.629940106
26.4.2019 0:00;10450062.881594073
27.4.2019 0:00;9332539.150324212
28.4.2019 0:00;11066867.945130968
29.4.2019 0:00;11128177.917684952
30.4.2019 0:00;9658987.040278893
1.5.2019 0:00;11698976.787556242
2.5.2019 0:00;12686653.816819804
3.5.2019 0:00;11161987.590045558
4.5.2019 0:00;9747033.773593009
5.5.2019 0:00;9580162.773586785
6.5.2019 0:00;11104085.159388645
7.5.2019 0:00;9849659.831727656
8.5.2019 0:00;11775361.86701962
9.5.2019 0:00;12003556.322091866
10.5.2019 0:00;10627740.094641794
11.5.2019 0:00;11959207.071440862
12.5.2019 0:00;14870587.889010083
13.5.2019 0:00;16381420.780996054
14.5.2019 0:00;16272176.470478687
15.5.2019 0:00;16570169.523303002
16.5.2019 0:00;16386183.296056926
17.5.2019 0:00;15365816.569580449
18.5.2019 0:00;15024060.631219478
19.5.2019 0:00;17078047.146282647
20.5.2019 0:00;17427652.9100598
21.5.2019 0:00;16824271.7817052
22.5.2019 0:00;17879582.37140632
23.5.2019 0:00;16445471.63928341
24.5.2019 0:00;16777656.008116517
25.5.2019 0:00;15111546.137828378
26.5.2019 0:00;17515157.826758314
27.5.2019 0:00;19990355.147045817
28.5.2019 0:00;19576247.91520953
29.5.2019 0:00;20423035.64059386
30.5.2019 0:00;18910243.45827172
31.5.2019 0:00;13911879.628886553
1.6.2019 0:00;17486915.277440295
2.6.2019 0:00;15212884.409762172
3.6.2019 0:00;14413060.995910399
4.6.2019 0:00;16818472.029598676
5.6.2019 0:00;16769434.382665036
6.6.2019 0:00;16170851.270532291
7.6.2019 0:00;16487387.364863208
8.6.2019 0:00;12891499.139063617
9.6.2019 0:00;14857595.528021926
10.6.2019 0:00;16133019.481273903
11.6.2019 0:00;15022485.44554708
12.6.2019 0:00;14029123.844550699
13.6.2019 0:00;16302469.421258522
14.6.2019 0:00;18606947.14611389
15.6.2019 0:00;16603409.243985558
16.6.2019 0:00;15457865.429677509
17.6.2019 0:00;16427048.736158617
18.6.2019 0:00;19731135.84351884
19.6.2019 0:00;21205089.593496077
20.6.2019 0:00;17867971.302670706
21.6.2019 0:00;17513510.903076626
22.6.2019 0:00;20226564.534135666
23.6.2019 0:00;25190494.466958996
24.6.2019 0:00;25117669.406959027
25.6.2019 0:00;22019741.67009687
26.6.2019 0:00;28500796.497545697
27.6.2019 0:00;23373593.44938623
28.6.2019 0:00;25894830.34991203
29.6.2019 0:00;27146866.152795907
30.6.2019 0:00;23148055.06923441
1.7.2019 0:00;20466940.114664994
2.7.2019 0:00;21557783.18263291
3.7.2019 0:00;25460639.379635587
4.7.2019 0:00;25577217.32106113
5.7.2019 0:00;27112260.17567074
6.7.2019 0:00;25968474.28709403
7.7.2019 0:00;22147290.354527596
8.7.2019 0:00;27023683.65810626
9.7.2019 0:00;25088593.28039063
10.7.2019 0:00;21513143.57462106
11.7.2019 0:00;19558998.108047456
12.7.2019 0:00;24514921.177289143
13.7.2019 0:00;20620364.126159612
14.7.2019 0:00;20112967.733195804
15.7.2019 0:00;19717567.27372133
16.7.2019 0:00;21504153.603016194
17.7.2019 0:00;16552407.73007493
18.7.2019 0:00;15993028.953746742
19.7.2019 0:00;16165633.2786906
20.7.2019 0:00;24176284.821787983
21.7.2019 0:00;20082220.54335711
22.7.2019 0:00;21201043.1071904
23.7.2019 0:00;18473408.69222984
24.7.2019 0:00;17352944.23116362
25.7.2019 0:00;19352797.07701097
26.7.2019 0:00;20736272.924910743
27.7.2019 0:00;18799606.368379906
28.7.2019 0:00;21033391.94192443
29.7.2019 0:00;20400292.758630224
30.7.2019 0:00;17507541.938310973
31.7.2019 0:00;21634664.96766384
1.8.2019 0:00;18379094.518416654
2.8.2019 0:00;22604965.05101804
3.8.2019 0:00;23631241.3897997
4.8.2019 0:00;22813366.284519993
5.8.2019 0:00;21432253.3896442
6.8.2019 0:00;24203650.849382844
7.8.2019 0:00;23212339.828974534
8.8.2019 0:00;21782420.335770905
9.8.2019 0:00;22485623.231223635
