Column1;Column2
26.3.2019 0:00;1262326.1103939118
27.3.2019 0:00;1229363.8775721304
28.3.2019 0:00;1227019.8842010947
29.3.2019 0:00;1223853.2538321333
30.3.2019 0:00;1162220.8816207005
31.3.2019 0:00;1185152.9426929776
1.4.2019 0:00;1225291.546854556
2.4.2019 0:00;1269750.9486698348
3.4.2019 0:00;1583157.1342548965
4.4.2019 0:00;1584276.3222125007
5.4.2019 0:00;1560184.6257248393
6.4.2019 0:00;1525969.9143280995
7.4.2019 0:00;1505041.3920152634
8.4.2019 0:00;1493060.4982168048
9.4.2019 0:00;1456620.6166846007
10.4.2019 0:00;1249048.9247445648
11.4.2019 0:00;1287640.5863835977
12.4.2019 0:00;1374460.6965527737
13.4.2019 0:00;1434593.679870518
14.4.2019 0:00;1478733.9583752921
15.4.2019 0:00;1503603.4841322605
16.4.2019 0:00;1512842.912958735
17.4.2019 0:00;1486563.0334669393
18.4.2019 0:00;1488523.4207896623
19.4.2019 0:00;1476492.1465258964
20.4.2019 0:00;1553963.0955683792
21.4.2019 0:00;1553208.821117695
22.4.2019 0:00;1523595.9163372319
23.4.2019 0:00;1543181.8067697634
24.4.2019 0:00;1610486.0796514084
25.4.2019 0:00;1673384.4928838296
26.4.2019 0:00;1657723.0892064795
27.4.2019 0:00;1579035.7404364825
28.4.2019 0:00;1526049.6561340666
29.4.2019 0:00;1535028.0554102652
30.4.2019 0:00;1457072.8187062864
1.5.2019 0:00;1401160.243612835
2.5.2019 0:00;1277103.4002375521
3.5.2019 0:00;1176131.9431871707
4.5.2019 0:00;1143710.323805115
5.5.2019 0:00;1169051.714162505
6.5.2019 0:00;1154782.7491439495
7.5.2019 0:00;1156935.4383293237
8.5.2019 0:00;1110413.5084132908
9.5.2019 0:00;1127595.3553054493
10.5.2019 0:00;1166368.893922368
11.5.2019 0:00;1179710.1207215937
12.5.2019 0:00;1233026.4002214547
13.5.2019 0:00;1260087.5968363662
14.5.2019 0:00;1334112.141899619
15.5.2019 0:00;1349266.0063384005
16.5.2019 0:00;1475806.810376921
